,word,sentiment,embedding,distances
3995,dismally,-1,"[-0.23783386 -0.21346889 -0.27455324 -0.2195736  -0.07731886  0.44279057
 -0.01562564  0.15759572  0.11410926 -0.11246584  0.07535967 -0.07963516
 -0.01546127 -0.13037626 -0.07442721  0.05345638  0.01759547  0.02179005
 -0.15927142 -0.14745422 -0.03595875  0.04893293  0.19442031  0.16201083
 -0.10121688 -0.05801319  0.05308301  0.10695834  0.05326602 -0.17014411
 -0.23710372  0.19563937  0.20134047  0.12370393  0.10238068  0.06565388
 -0.06612053  0.22258906  0.08498315 -0.29895398 -0.07599755  0.04158159
 -0.1165842   0.12559658 -0.03292206  0.26206186  0.24470642 -0.2120714
  0.01593362  0.14194718  0.08536801  0.14911005  0.11577422  0.07563677
  0.0780655  -0.19665876 -0.14113924 -0.08649982  0.13805869  0.09652834
 -0.19141017 -0.02636733  0.15541674  0.21079923 -0.02481888  0.1765369
 -0.10915378  0.22355305  0.17897636 -0.04991514 -0.08302926  0.08208963
  0.36584783 -0.07231328 -0.04032423 -0.28404078 -0.04297616  0.02409712
  0.0310322  -0.13206491  0.18564272  0.01700895  0.0162559  -0.09308629
  0.03545518  0.3872233   0.10348599 -0.16180161  0.03239705  0.29839942
 -0.16203849  0.05442116 -0.03264933 -0.09184176 -0.031453   -0.11466585
 -0.18432672  0.04596067  0.03111693  0.06291987]",0.9516091640261423
3193,pathetically,-1,"[ 0.13030954 -0.23664695 -0.29420176 -0.11769632  0.11180995  0.01035794
  0.09011572  0.266413   -0.0703432   0.00292142  0.28789577 -0.07336956
  0.05577159  0.11689463 -0.13816124  0.04453248  0.15494482 -0.02355119
  0.06724536 -0.15085065 -0.18287019  0.17832588  0.24859701  0.03755574
  0.21700829 -0.06684782 -0.21755792 -0.02483018 -0.05046532 -0.09448926
 -0.07499931 -0.02355734 -0.02961068  0.08266938  0.32359782  0.18631901
 -0.06934277  0.05482992  0.21827339  0.06793676  0.00676053 -0.22792591
  0.10915391  0.21737498 -0.02443462  0.00292751 -0.08998775  0.09201732
 -0.0829871  -0.12382748 -0.00810078  0.28210324  0.24630179  0.18952474
  0.31558031  0.03693619 -0.26826444  0.08791818  0.1736799  -0.06670261
 -0.17155391 -0.07798271 -0.1012693  -0.0605057  -0.18714073  0.2162025
  0.15563676  0.28632382  0.08409183 -0.02376277 -0.17585    -0.2219267
  0.1432782   0.14039499  0.02222725  0.02064374  0.1183503   0.16921227
 -0.14816959 -0.22255018  0.40003091  0.1076359   0.05055099  0.01965801
  0.13565435  0.17304726  0.08149992 -0.09946562  0.24480811 -0.08343418
 -0.01657966  0.03223293 -0.34172335  0.01847087 -0.01591319 -0.0739686
  0.02110001  0.08105171  0.08923486 -0.24664809]",0.957247596560443
2217,substandard,-1,"[ 0.24860963 -0.19480065 -0.01277354 -0.03830432  0.10518074  0.14468859
 -0.08064358  0.17102675 -0.0258392  -0.03258313 -0.03168103 -0.21886808
 -0.08811036 -0.0488621  -0.08616637 -0.15428081  0.00162283 -0.13050997
 -0.03590023 -0.26481682 -0.09069244  0.0308322   0.24505168 -0.01813369
  0.02894309 -0.03691692 -0.08496017  0.07470074  0.06889736 -0.11991578
 -0.08194708  0.19647248 -0.15595631  0.12308128  0.22877824  0.3042036
  0.18503964 -0.08342956  0.18095551  0.16310199  0.18346144 -0.02370705
 -0.05866214  0.24654497 -0.01321203  0.01209976 -0.08451315  0.04339303
  0.09730492  0.13126771  0.09788066  0.38804132  0.08960959  0.05991357
  0.04928679  0.05936833  0.05150021  0.18790293  0.19510126  0.24374725
 -0.01293562  0.06270274  0.07184282  0.0203895   0.00380899  0.16252732
 -0.0611316   0.0928124   0.22344424 -0.07062641 -0.11918866  0.26139092
  0.0538015  -0.0234084  -0.06413404  0.13074194 -0.02787483 -0.07102932
  0.00990751  0.06794518  0.1189362  -0.07144283 -0.07471925 -0.07964955
  0.13800378  0.24297079  0.11084794  0.03451114 -0.02312179 -0.07516439
 -0.27412653  0.13494888 -0.25696254  0.07957054 -0.07134213 -0.06985628
 -0.18198515 -0.09696416 -0.09622541  0.15129396]",0.9572811014797746
3008,hideously,-1,"[ 0.18653205 -0.36071667 -0.31995857 -0.1450665  -0.05400636  0.25566363
  0.04326452  0.26350489 -0.13687764  0.0471583   0.09703334 -0.14686258
 -0.16240512 -0.1761217  -0.07049666 -0.11296138  0.23296203  0.092204
  0.26187095 -0.16972226 -0.21743879  0.16076557  0.14762071  0.1108117
 -0.01322318 -0.02198235 -0.16946119  0.19117314 -0.12531921 -0.11810812
  0.17645608 -0.01584573 -0.26503813  0.31198958 -0.01078352  0.10470237
 -0.0378659   0.1609692   0.07009697  0.21640958  0.31202683  0.04138858
  0.18143183  0.08702886  0.24900997  0.37996978  0.05252708  0.01677371
  0.06085591  0.13137788  0.18754302  0.51349461  0.12075998  0.16794276
  0.56765312  0.01214472 -0.3890321  -0.00304718  0.20356345 -0.23892492
 -0.21461409  0.20198642 -0.1068745  -0.00406846 -0.04804645 -0.00650671
  0.10998736  0.21686625  0.16001901  0.12181361 -0.05884431  0.101937
  0.22066875  0.01996512 -0.11731505 -0.11639489 -0.22616084  0.19633153
  0.06985472  0.03530877  0.08427939  0.18714339 -0.11655243  0.15159921
  0.10470884  0.1355222  -0.0706493   0.0583377   0.06487656  0.00837442
 -0.08417352 -0.00134382 -0.38826948  0.05310913 -0.00605109 -0.2703279
 -0.174886    0.10445172  0.13435237  0.12332825]",0.9573712345265801
1182,insultingly,-1,"[ 0.0173564  -0.30474219 -0.19651169 -0.23244058  0.10710695  0.17249273
  0.21067074  0.29102606 -0.00608054 -0.02857363  0.19244497 -0.19775271
 -0.17147949  0.18397884 -0.08508055  0.08224562  0.18882208 -0.15594815
  0.01544331  0.15714003 -0.07325671  0.10042836  0.27796215  0.15995459
 -0.25860685 -0.14875466 -0.24190763  0.00173894 -0.18515351 -0.12100778
 -0.23891163  0.33083037  0.03001551  0.17069402  0.06396032  0.20740564
  0.1274413   0.1692446   0.11654407  0.04526523  0.03886753 -0.11501979
 -0.03352335  0.2887851   0.11968128  0.15043651  0.1365058  -0.06693546
 -0.01708202  0.11208329  0.23195942  0.16793776 -0.00144758  0.43375251
  0.1829983  -0.16032647 -0.23295756  0.01457219  0.08255178 -0.0210915
 -0.04497113 -0.08661016 -0.03497584  0.17810804 -0.0302313  -0.10977103
 -0.07737949  0.24725273 -0.00940099  0.18165909 -0.07185908  0.0046326
  0.0094345   0.06702495 -0.00601251 -0.18316123 -0.0944111   0.1538303
  0.06141067 -0.04775226  0.14202812  0.00659796  0.03083697  0.18282749
  0.07709871  0.27557844  0.08084251 -0.37999895  0.18183284 -0.01009156
 -0.18523934 -0.03900237 -0.08006005 -0.22917153 -0.30622518 -0.25141996
 -0.33632472  0.07539077  0.15873738  0.00075091]",0.9577352216748037
2372,ugh,-1,"[ 2.48053614e-02 -3.27762455e-01  6.70424700e-02 -2.92013958e-02
  1.86397672e-01 -7.13423640e-02  9.97876078e-02  8.41407031e-02
 -5.67149669e-02 -3.32779251e-02  1.07350700e-01 -3.22101027e-01
 -6.81931749e-02 -9.00883749e-02  2.85014175e-02  1.48080632e-01
 -9.96880010e-02  1.29204735e-01 -1.62718713e-01 -1.28745362e-01
 -6.34003729e-02  3.72618288e-01  3.94358128e-01  1.66719347e-01
 -2.02363342e-01 -2.94193327e-01 -1.38487399e-01  4.11663912e-02
  1.45758048e-01 -4.30881828e-02 -1.67499751e-01  2.07239211e-01
  6.72341958e-02 -1.21861234e-01 -8.60429183e-03  3.00276488e-01
  2.41814762e-01  4.91205007e-02 -1.29726201e-01  1.27075359e-01
 -2.13689104e-01 -7.47250691e-02  2.66355127e-01  2.99095929e-01
 -4.29640532e-01 -1.66210532e-01  1.26476765e-01 -4.87590618e-02
 -1.73404738e-02  1.64910033e-01  3.43556464e-01 -9.08071622e-02
  5.76153696e-02  1.94805153e-02 -1.44713419e-02 -1.50588691e-01
 -1.18221469e-01 -9.06439126e-02  1.41804621e-01 -1.40560254e-01
 -2.18623534e-01 -6.15108199e-02 -1.43210799e-01 -4.12739605e-01
 -1.61634058e-01  5.70864528e-02 -2.68316835e-01  1.03861108e-01
 -2.22585380e-01 -2.23449901e-01 -3.31885904e-01 -1.14742689e-01
 -5.54526132e-03  8.56841281e-02  2.29575381e-01 -3.98802385e-02
 -1.16918921e-01  2.37267196e-01  3.67211491e-01  2.35258847e-01
  1.98439434e-01 -1.45876378e-01 -3.77168544e-02  4.05446440e-02
  4.50504795e-02  1.53469190e-01 -4.42474671e-02 -3.85645180e-05
  6.95854127e-02  7.16565698e-02 -2.50247091e-01  1.10784329e-01
 -1.71118587e-01 -8.53652284e-02 -1.80712000e-01 -1.83746397e-01
 -1.83472782e-02 -5.17384000e-02  2.67279502e-02  3.03131789e-01]",0.9590484625409754
1520,obnoxiously,-1,"[ 0.0649561  -0.25265372  0.00875687 -0.14038517  0.13570879  0.13983151
 -0.11096893  0.05910728 -0.09677663 -0.05111776  0.07162318  0.09296429
 -0.21411024 -0.05722396 -0.16367513 -0.05332185  0.17106242  0.04451446
 -0.02716124 -0.13726638 -0.13927665  0.15697661  0.22863533 -0.01418989
  0.01385763 -0.14637248 -0.06178536 -0.0111698  -0.06234182 -0.1447565
  0.02952578  0.25434476  0.08170839  0.07838477 -0.01578019  0.0200001
  0.10320564  0.17836174 -0.01576846 -0.05773732 -0.05140297  0.05961429
  0.19432829  0.18655707 -0.15720493  0.19562343  0.04585229 -0.13619584
  0.13369825 -0.21964827 -0.05223181  0.16395493 -0.00870556 -0.04675176
  0.02530239 -0.10064074 -0.18617648 -0.20167969  0.12657823 -0.00817456
  0.02956063  0.07586126  0.20927621  0.10578505 -0.02161682  0.05707691
  0.04040779  0.03393312 -0.11761996 -0.05660653 -0.16030465  0.05831915
  0.18974809  0.03008347  0.1532937  -0.31991234  0.06129848  0.203398
  0.01665959 -0.00850731  0.10507653 -0.01557963  0.10655995  0.1174528
  0.16135317  0.11591119  0.11122409  0.13527988  0.09952814 -0.03307668
  0.05634498 -0.14824796 -0.30794248  0.16991027 -0.00263843  0.01881721
 -0.31479615  0.04345174  0.08427325 -0.0889225 ]",0.9593320743788261
2126,squealing,-1,"[ 0.00368584 -0.13834599  0.02512779 -0.10692374  0.02945619 -0.10922305
  0.17533743  0.02830743 -0.1172436   0.15069546  0.08177809 -0.01460854
 -0.00499652 -0.07285234 -0.07436684 -0.03214366  0.07704394 -0.12680079
  0.0149809  -0.03043584 -0.18045424  0.16287795  0.2290054   0.10604598
 -0.07526474 -0.0738567  -0.07649128 -0.04674593  0.06660961 -0.13589151
 -0.08846737  0.0510546  -0.06302238  0.04338966  0.14217007  0.07711742
  0.09242621 -0.01544745  0.06905704  0.16019712  0.07456086 -0.17772822
  0.04310396  0.15858196  0.08139225  0.16559821  0.0994969   0.12706335
  0.00413051  0.03337933  0.04164515  0.16616683 -0.00976612  0.08009685
  0.02712809 -0.070143   -0.08628473  0.03228305  0.10632169  0.17124099
  0.04337961  0.13851865 -0.05817744  0.04658414 -0.17407125  0.14555666
 -0.03460041  0.00361373  0.03635044 -0.08689173  0.16760434  0.00675307
  0.02747967  0.05123137  0.05199629  0.00140601  0.03553429 -0.00027841
  0.04954855 -0.06454142  0.05242138  0.08769815 -0.02260905 -0.10871775
  0.02970538  0.04181109  0.00334251  0.04981681  0.05586087 -0.14938225
 -0.0650996   0.00906789 -0.17433149 -0.11887936 -0.07609461  0.03707965
 -0.11599069  0.15689589 -0.17928208 -0.00937655]",0.959393043257533
1105,inconsistency,-1,"[ 0.20494424 -0.06296195 -0.02103651 -0.08631989  0.12720555  0.12539445
 -0.08151179  0.16027033 -0.04753526 -0.07360187  0.06230382  0.16163133
 -0.05286888 -0.00201169 -0.08578435 -0.00427664  0.19861363  0.04620468
 -0.05658499 -0.08402894 -0.00823668 -0.03363591  0.0548983   0.14238195
 -0.0059351   0.00094537 -0.06998438 -0.09041824 -0.25669506 -0.12387432
 -0.04781452 -0.01636908  0.01732953  0.00448134  0.18501221  0.28094688
 -0.08016693  0.12477577  0.19372129 -0.09311265  0.01271678 -0.04745655
 -0.15858603  0.16696176  0.18673062 -0.02177034  0.04601133  0.06826215
  0.13482502  0.10418243  0.11788096  0.17329793 -0.00188201  0.11006402
  0.10238828 -0.04868191 -0.12693588 -0.09125498  0.11357407  0.05932649
 -0.19398417  0.09575573  0.07951735  0.08160901  0.07218055  0.17208453
 -0.00769748  0.17432727  0.02835264 -0.00726654 -0.10943238 -0.10851253
  0.02574956 -0.07503965 -0.03266174 -0.11734967 -0.27646312  0.01461977
  0.01562396  0.04418604  0.23936599  0.23655374  0.00239167  0.1595034
 -0.02748819  0.23552603  0.02559313 -0.11178099  0.15267636  0.02678411
 -0.23914011  0.01995324 -0.21802385  0.09432711 -0.10444114 -0.20326781
 -0.18067792 -0.07371159  0.17242417  0.24559066]",0.9599082840364157
2629,dreadfully,-1,"[-3.83584574e-02 -2.87906319e-01 -1.45188212e-01  3.67185622e-02
 -2.86830124e-02  2.57812232e-01  1.52306050e-01  3.43307287e-01
 -2.41342843e-01  9.91695970e-02  1.07497282e-01 -1.84916958e-01
  1.37465164e-01  3.54972035e-02 -9.87441763e-02 -1.62369132e-01
  2.10843638e-01 -2.34354198e-01  7.42111215e-03 -1.89494580e-01
 -9.65276659e-02  1.49336562e-01  2.36794338e-01  5.41840307e-02
 -2.98966616e-02 -2.43643925e-01 -1.89404756e-01 -1.13030940e-01
  2.41788104e-02 -6.86786249e-02 -1.74013808e-01  3.28786701e-01
  2.82113910e-01 -1.67076141e-02  1.07391022e-01  1.32446900e-01
  2.64548481e-01  3.41001153e-01  7.70567507e-02  2.61409879e-01
  1.87068611e-01  3.22250475e-04  1.29620910e-01  2.53378123e-01
  2.58835286e-01  7.76704028e-02  4.36540022e-02 -6.48893863e-02
 -2.61128098e-01 -4.67049927e-02  3.07090729e-01  2.70304650e-01
 -1.68310285e-01  3.03996980e-01  4.51035291e-01 -3.05328846e-01
 -6.31387085e-02  1.76521577e-02  2.99334317e-01 -1.28225237e-01
 -2.94715136e-01  6.35397956e-02 -1.31545991e-01  2.17466623e-01
 -1.60115846e-02  5.19157425e-02  4.04615537e-04  3.18367258e-02
  1.85819730e-01  2.51097903e-02 -4.09064651e-01 -8.72982293e-03
  1.72121838e-01 -1.67454436e-01 -9.51873660e-02 -1.08409598e-01
 -2.50167772e-02  4.03057396e-01 -2.81177834e-02  1.29722521e-01
 -1.49393171e-01 -4.18112576e-02 -1.56182706e-01  1.42261863e-01
  4.26239073e-02 -5.08169979e-02  1.87360048e-01 -9.84601304e-03
  4.20788467e-01  3.75044346e-02 -3.41277719e-01 -2.48366538e-02
 -1.67617738e-01  2.48853683e-01  3.69142704e-02 -3.52705777e-01
 -8.20355341e-02  2.06903949e-01  5.36754448e-03  6.34466410e-02]",0.9603297745160421
